hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-79167494183              1          1         1
4-959974610124             1          1         1
4-14054729352              2          0         2
4-34609091004              1          1         0
4-8615905370000           60         57        26
4-8618483000004           13         12         3
4-491700600111             1          0         0
4-8615859450147           18         18         7
4-861384420006             7          7         3
4-491760003017             1          1         1
4-14054729233              1          1         1
4-6593340084              24         15         0
4-819066519765             3          3         0
4-14054729247              4          4         4
4-8618481380005           10         10         1
4-447953700210             1          0         1
4-886935420648             1          1         1
4-447953700249             1          1         1
4-861510434000             6          5         0
4-861390434009             1          1         1
4-8615203400001           17         13        11
4-861580438007            10         10         4
4-380630010110             2          2         0
4-919843000025             2          2         2
4-861580438009             1          1         0
4-8615756980000           19         19         3
4-861390438008             4          3         1
4-861384420002            13         12         5
4-861887794000            17         16         1
4-818093110000            14          9         0
4-8615034640007            5          5         0
4-886935420650             3          3         3
4-447953700238             1          0         1
4-34656000135              1          1         1
4-8615203400005           13         12         7
4-8613720930001            5          5         3
4-491700600126             1          0         0
4-233540003007             1          1         1
4-852645021000110          9          6         9
4-41765900103              1          1         0
4-14054729205              1          1         0
4-8618483000002           21         20         6
4-6598541018               8          7         1
4-447953700221             1          1         1
4-447802000257             1          1         1
4-886936000146             7          7         7
4-14054729335              3          2         3
4-16363848257              1          1         0
4-14054729227              1          1         1
4-821029191813             8          7         8
4-8615034520004           11         11         4
4-4366401163               1          0         0
4-861390434006             2          2         2
4-8613444350241           17         16        12
4-8613459140384           16         16         4
4-861390438009             1          1         0
4-8615034520003           10         10         2
4-8615034640005            2          2         2
4-8613720930003            5          5         2
4-8615702810005           15         15         1
4-46707000041              1          1         1
4-639180008993             1          1         1
4-8613546790004            4          3         1
4-861514420009             5          4         1
4-886935420647             1          1         1
4-316540791020            13         11         0
4-13123149431              1          1         0
4-34607000250              1          1         0
4-14054729346              1          1         1
4-34690550030              1          1         1
4-8613515200000            4          3         2
4-491700600147             1          0         0
4-821196580000             9          6         9
4-819066519764             1          1         0
4-14054729322              1          1         1
4-8615859450418            2          2         1
4-959790000007             1          1         1
4-8615034640002            4          4         1
4-886936000037             1          1         1
4-8613546790001            4          4         0
4-32495005650              5          5         0
4-353876999260             1          1         0
4-8615035320005            4          4         3
4-8613444350142           13         12         9
4-971504063593             1          1         1
4-8615761270000            1          1         1
4-420608005620             1          0         1
4-13603399159              4          3         0
4-886935420605             2          1         2
4-8190542116808            3          3         0
4-393916230111             1          1         0
4-12085978017              1          1         0
4-886932489004             1          1         1
4-819066519753             2          2         0
4-8613467170008            1          1         1
4-21650000070              1          1         1
4-861390434004             5          5         1
4-393358999733             1          1         1
4-8615034640004            3          2         1
4-6281107108               1          0         0
4-33660005100              1          0         1
4-14054729353              1          1         1
4-79167494190              1          1         1
4-14054729340              1          1         1
4-861510483000             3          3         2
4-66942500134              1          1         0
4-12404492590              1          1         0
4-8613720930006            4          4         2
4-971504063493             1          0         1
4-16363848245              2          1         0
4-14054729193              1          1         1
4-14054729222              2          2         2
4-393492001966             2          2         0
4-46707990052              3          0         0
4-8614708930000            1          1         1
4-861390434005             7          7         3
4-12404492588              1          1         0
4-8615035320007            2          2         2
4-14054729311              1          1         1
4-79772539012              1          0         1
4-886935420652             2          2         2
4-66923014522              1          1         1
4-819066519751             3          3         0
4-491700600145             1          0         0
4-8613444350443            9          8         8
4-852645021000127          3          3         3
4-447802000248             1          1         1
4-14054729237              1          1         1
4-14054729210              1          1         1
4-9647701144001            1          1         0
4-861870546000             4          4         2
4-8615903400009            2          2         1
4-8190542113800            3          3         0
4-60120000270              1          1         1
4-14054729230              1          1         1
4-46708000984              2          1         0
4-14054729361              1          1         1
4-861384420007            11         11         5
4-14054729319              1          1         1
4-491700600117             1          0         0
4-919894000048             1          1         1
4-989350070210             3          3         3
4-628964001091             1          0         0
4-14054729348              3          3         2
4-14054729347              2          2         2
4-886973848920             3          3         3
4-12085979018              4          4         0
4-14054729242              1          1         1
4-819066519757             3          3         0
4-60192040152              2          2         2
4-14054729326              1          1         1
4-380672059999             2          2         0
4-14054729365              1          1         1
4-819066519756             3          3         0
4-33609009099              3          2         0
4-14054729331              1          1         1
4-8615034640001            1          1         0
4-886936000233             2          2         2
4-14054729367              3          3         3
4-639180009006             1          1         1
4-85368008675             40         32        40
4-447802000231             1          0         1
4-886932489008             1          1         1
4-14054729191              2          2         2
4-97259105999              2          2         0
4-861845232000             4          4         1
4-919845286068             1          1         1
4-886936000147             4          3         4
4-639180009003             1          1         0
4-8613546790005            2          2         0
4-79101399983              1          1         1
4-46705003207              2          0         0
4-85593000001              1          0         1
4-8613546790002            2          2         0
4-886935420616             3          3         3
4-886935420615             1          1         1
4-12404492275              1          0         0
4-628184429906             4          3         4
4-6590475002               2          2         0
4-12085978935              1          1         0
4-14054729249              1          1         1
4-12085978982              1          1         0
4-14054729323              1          1         1
4-14054729243              3          3         3
4-12085978981              1          1         0
4-819066519762             5          5         0
4-447802000229             1          1         1
4-3546999121               1          0         0
4-8190542114805            1          1         0
4-959974610122             1          1         1
4-8190542119808            1          1         0
4-85263347880              1          1         1
4-886935420606             1          1         1
4-447785011834             3          3         1
4-919825301036             1          1         1
4-919811001121             2          1         2
4-8613444350343            1          1         1
4-393492001957             1          1         0
4-447953700234             1          1         1
4-491760003005             1          1         0
4-8614765990000           45         19         0
4-491760003003             1          0         1
4-861356558000             4          4         0
4-989110014                1          1         0
4-491760003009             1          1         1
4-8190542113811            1          1         0
4-61418703300             11         11        10
4-8190542112805            2          2         0
4-447953700236             2          1         2
4-14054729220              2          2         2
4-60120000274              1          1         1
4-14054729212              1          1         1
4-316530860010             2          2         0
4-6598541017               5          4         2
4-14054729218              1          1         0
4-8613645380000           26         26        14
4-14054729211              2          2         2
4-491700600134             1          1         0
4-14054729204              1          1         1
4-6281107109               1          1         0
4-14054729235              1          1         1
4-85292040038              3          1         3
4-33689002660              2          2         2
4-14385800120              1          1         0
4-447797707011             1          0         0
4-447953700248             1          0         1
4-41794992015              1          1         1
4-393358817413             1          1         1
4-5294100057030            1          0         0
4-447802000233             1          1         1
4-886935420645             2          2         2
4-491700600158             1          1         0
4-852645021000115          8          7         8
4-447802000243             1          1         1
4-447797707015             1          1         0
4-14054729213              2          2         2
4-6598541016               3          3         0
4-14054729359              3          2         2
4-14054729208              1          1         1
4-14054729228              1          1         1
4-46735487101              1          1         0
4-14054729329              2          1         2
4-8613546790009            1          1         0
4-919815053740             1          1         1
4-491700600132             1          0         0
4-14054729315              1          1         1
4-639170000358             5          5         2
4-14054729344              1          1         1
4-33689005211              1          0         1
4-639180009014             1          1         0
4-14054729368              1          1         1
4-64277435103              1          1         0
4-966505000000             1          1         0
4-85363445711              1          1         1
4-14054729357              3          3         3
4-14054729239              2          2         1
4-550064802001             2          1         0
4-959974610121             1          1         1
4-491700600107             1          1         0
4-14054729214              1          1         0
4-60120000272              1          1         1
4-9477000196               2          2         2
4-491700600103             2          0         0
4-46707000043              1          1         1
4-8190542113810            4          2         0
4-48790993030              1          0         1
4-861374427686             2          2         0
4-886935420651             1          1         1
4-12085978979              1          1         0
4-8615000022            2608       2525       346
4-8618324030000            5          2         0
4-9595930011               2          2         2
4-2348090001407            1          1         1
4-14054729362              1          1         1
4-14054729217              3          3         3
4-14054729199              2          2         1
4-819066519768             3          2         0
4-8190542113819            2          2         0
4-8190542116803            1          1         0
4-447953700256             2          1         1
4-14054729318              1          1         1
4-491760003031             1          1         0
4-278291089511             1          1         1
4-819066519767             3          3         0
4-14054729342              2          2         1
4-4540150009               1          0         0
4-12404492274              1          0         0
4-639180009005             1          1         0
4-819066519763             4          3         0
4-8190542112801            1          1         0
4-14054729202              1          1         1
4-85290184000              4          3         4
4-8190542113806            1          1         0
4-14054729350              1          1         1
4-14054729333              2          2         2
4-8613444350243            3          3         3
4-15875800121              1          1         0
4-447802000230             1          1         1
4-14054729338              3          2         1
4-919820005714897          1          1         1
4-8615000024            2573       2490       335
4-8615000028            2598       2527       333
4-8615000033            2619       2543       329
4-447802000259             2          2         1
4-8615000025            2528       2448       314
4-8615000029            2596       2500       302
4-8615000031            2613       2537       337
4-8615000027            2689       2595       391
4-8615000023            2547       2471       331
4-8615000026            2618       2521       359
4-861390434008             1          1         0
4-14047259889              1          1         0
4-352621100610             1          1         0
4-38050000302              1          1         1
4-14054729224              1          1         1
4-79126313333              1          1         1
4-8613475220000          143        140        75
4-919810051031             2          2         0
4-8615000032            2691       2596       336
4-34656000117              1          1         1
4-886935420646             3          3         3
4-8615000030            2583       2494       318
4-97259106999              1          1         0
4-66923012503              1          1         1
4-491760003026             1          1         0
4-14054729231              1          1         1
4-996701589224             1          1         0
4-12085978983              1          1         0
4-316530860030             2          2         0
4-14054729195              3          3         3
4-14054729355              3          3         3
4-491700600115             1          0         0
4-79043490340              1          1         1
4-66942500139              1          1         1
4-491760003010             1          1         0
4-639180008986             3          2         1
4-14054729216              5          5         5
4-14054729332              1          1         1
4-849802040502532          1          1         1
4-14054729358              1          1         1
4-14054729219              2          2         2
4-447953700251             1          1         1
4-819066519755             4          3         0
4-12085978978              1          1         0
4-8615035320004            2          1         0
4-393358817282             1          1         1
4-14054729339              4          4         4
4-491720097496             1          0         0
4-14054729325              2          1         2
4-491720096996             1          1         0
4-821080010585             2          1         2

TOTNSUB
617059

TOTNSUBA
577528

NSUBPR
0

NSUBXP
0

NSUBGS
0

NSUBSGS
388887

END
<exit;

Disconnected from MSC78
hxwsj@gmshmas3o> eaw MSC79;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG79CN79C/KD/03/05/02

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-8613621630            3588       3488       473
4-8615221022            2198       2119       263
4-8613524522            3193       3089       390
4-8613564821            3598       3477       451
4-8615102127            2316       2242       273
4-8615000026            2351       2269       304
4-8615000028            2400       2323       341
4-8613512127            4867       4729       688
4-8613564828            3669       3540       507
4-8613512125            4875       4743       605
4-8613512128            4791       4633       665
4-8615000025            2359       2269       316
4-8613564829            3574       3471       474
4-8613621625            3483       3396       446
4-8613524523            3022       2933       419
4-8613564827            3725       3616       475
4-8613621631            3587       3490       482
4-8615000030            2413       2334       317
4-8613524525            3144       3038       384
4-8613524532            3106       3015       371
4-8613564824            3714       3591       476
4-8613621632            3606       3503       470
4-8613564825            3706       3559       467
4-8613512129            4686       4534       610
4-8613564831            3581       3456       454
4-8615221025            2188       2104       270
4-8613564823            3630       3513       468
4-8615102122            2337       2268       253
4-8613564832            3698       3586       452
4-8613524528            3115       3018       415
4-8615000024            2412       2330       317
4-8613564830            3711       3617       476
4-8613524526            3157       3045       411
4-8613621627            3632       3539       452
4-8615102132            2245       2167       275
4-8613512131            4833       4674       656
4-8615102124            2293       2217       272
4-861585637000           306        303       185
4-8615202122            2165       2095       258
4-8615221027            2213       2132       262
4-8615102121              31         23         1
4-8613621624            3672       3561       509
4-8613564822            3567       3438       442
4-861516277000          1288       1249      1013
4-8613524524            3151       3057       416
4-8613524531            3102       3012       393
4-8613621621              12          9         3
4-861350101000           637        598       290
4-8613621622            3572       3463       472
4-861471676000           210        198       184
4-8613512123            4900       4756       631
4-8613621629            3530       3429       483
4-8613621626            3602       3498       476
4-861585586000           643        623       479
4-8615102125            2459       2365       309
4-8613512130            4986       4845       630
4-8615221024            2132       2036       236
4-861889570000           396        385       295
4-861840572000           702        673       547
4-8615202123            2160       2078       243
4-8615000027            2355       2264       305
4-8615221031            2319       2220       269
4-861390555000          1217       1204      1022
4-861366746000            76         75        29
4-8618483000003           14         13         1
4-861881369000            16         15        16
4-8613524529            3085       2991       393
4-8615202124            2106       2034       247
4-8613840490000          159        154        47
4-861471511000           227        216       210
4-8615202132            2168       2106       284
4-861396160000           525        498       337
4-861390621000           826        765       365
4-8615000032            2460       2359       305
4-8615221028            2183       2118       283
4-8618860334000          121        119        15
4-8613512122            4857       4710       658
4-861471678000           166        157       142
4-861889983000            18         17        18
4-8618828480000           73         72        20
4-8615000021              32         26         2
4-861360101000           351        331        83
4-8614765990000           56         19         0
4-861471675000           134        129       119
4-8613512121               6          1         0
4-861340130000           771        726       514
4-8613524530            3191       3100       429
4-8613585200000          650        635       333
4-8613512124            4818       4689       654
4-861882461000            96         87        82
4-8615221023            2260       2178       288
4-861586152000           379        358       229
4-861358443000           549        501       322
4-8615202131            2202       2129       236
4-8615000031            2475       2390       302
4-861471512000           222        206       196
4-861580438002            18         16         6
4-8613937900000          200        186        65
4-8613621623            3471       3384       499
4-861577570000           165        158        45
4-8613524521               4          2         1
4-861391270000             5          5         2
4-8615202127            2216       2135       264
4-861887850000            71         68         2
4-8613621628            3468       3345       426
4-861390554000           310        305       214
4-8614708500000          240        224       139
4-8613811110001           53         50         5
4-8613661210000           64         63        13
4-8613524527            3167       3078       380
4-8613675260000          265        257       214
4-8615221021               7          5         1
4-8615102123            2387       2301       261
4-8615202125            2218       2150       244
4-861506160000           686        669       492
4-861882460000           241        210       196
4-8618865417474           93         90        54
4-861380938000           256        252        82
4-8615702810006           19         18         3
4-8618838575000          150        148        21
4-8613444350232           91         88        60
4-8613512126            4815       4683       633
4-8615938050000          433        425        66
4-861391299000           197        189        95
4-8615102131            2424       2325       256
4-861471615000           141        137       129
4-8618308420000          165        155        68
4-861502100000         64668      62356      8820
4-8613766490000          609        593       337
4-8613696900000          603        581       223
4-8613512132            4821       4680       654
4-861471679000            92         85        83
4-8618436040000           61         60         9
4-8613401760000          925        905       722
4-8615102126            2371       2294       273
4-8618338456000           64         63        10
4-8613782744000           41         41         8
4-8615202121            2198       2121       257
4-861390825000           105        101        47
4-861390563000          3187       3161      2375
4-8615188440000          124        120        25
4-8618838577000          142        141        21
4-8615000022            2372       2298       310
4-8613914200000          237        227       125
4-8615000029            2333       2247       297
4-8615102129            2434       2331       262
4-8613444350434           75         73        61
4-861350326000            24         23         5
4-861390553000          1173       1149       836
4-861385680000           461        451       305
4-861500573000           521        502       374
4-8613564826            3595       3479       485
4-8614765120000         5839       4565      1379
4-8615179740000          210        198       110
4-861391409000           477        454       181
4-8613782900000          247        241        48
4-8615838840000          206        203        25
4-861390565000           442        432       307
4-861395710000          1040       1017       730
4-861820571000          1028        998       552
4-8615102130            2411       2312       279
4-861363705000           645        626       331
4-8615704190000           35         35        16
4-8613813190000          543        528       374
4-861390559000           599        583       443
4-861394720000            78         70        40
4-8615106110000          408        395       218
4-861585710000          1039       1001       740
4-8615221032            2217       2141       266
4-8615936340000          128        125        16
4-861821159000           155        147       138
4-8618838578000          167        163        29
4-861470350000            52         51        27
4-8615102128            2362       2264       257
4-8615221026            2242       2156       304
4-8618860337000          125        117        15
4-861396683000           663        643       520
4-861380560000           645        633       357
4-8613851350000          556        546       462
4-861471473000            19         17        18
4-861390557000           406        400       329
4-8615262630000         1486       1425       624
4-861387940000           467        455       190
4-861515552000           346        341       198
4-8613444350333           39         39        27
4-861399340000            60         59        31
4-861840760000            57         55        55
4-8613406997474          101        100        52
4-8618300940000          149        138       109
4-861880576000          1139       1099       746
4-8613783240000           94         92        42
4-861361101000           381        362       108
4-861827225000           250        243       162
4-861595780000           486        467       376
4-8615202129            2165       2075       243
4-861582967000           169        162        90
4-8615859454262           27         26        15
4-8613444350233           88         88        49
4-861394710000            78         71        30
4-8618860338000           39         38        11
4-8618840530000           58         58        31
4-8615000023            2396       2322       326
4-861577103000           297        290       113
4-8615962800000         1205       1175       960
4-8615979540000          343        332       208
4-861396150000           355        338       245
4-861390920000           319        303       192
4-8613806427474           57         47        17
4-861390454000            64         63        15
4-861373260000           603        569       321
4-861387910000           423        409       196
4-8615259300000          482        466       178
4-8615284150000          131        127        36
4-861516109000           499        484       357
4-8618441440000          133        129        51
4-8615202130            2214       2142       267
4-861884310000           109        104        47
4-861840769000           137        130       131
4-861515544000           313        306       182
4-861350572000           689        665       564
4-861372101000           278        268       158
4-861390916000           159        152        83
4-861843493000           102         97        67
4-861360669000           496        490       411
4-861510230000           142        138        77
4-861387990000            73         69        19
4-861887142000           365        354       118
4-8618838576000          146        142        15
4-8618436048000           58         58        15
4-8618805337474          134        124        53
4-8615772890000           58         56        39
4-861376651000           130        126        30
4-8615859454278           26         25         9
4-861525229000           531        519       422
4-8615938240000          282        276        36
4-861350131000           361        349        91
4-861830756000            63         61        53
4-8613810310000           68         66        13
4-8613879200000          475        464       278
4-8615202128            2187       2107       240
4-8615249655000          106        101        11
4-861875740000           868        840       606
4-8615221029            2250       2189       259
4-8613444350139          104        100        73
4-861394670000            34         28         9
4-8613444350134           92         88        64
4-8615140450000          206        198        91
4-8618308450000          266        261        60
4-861840666000           244        225       210
4-14047259887              2          2         0
4-8615221030            2267       2187       288
4-8615859454318           24         22        11
4-8613444350336           39         38        30
4-959974610119             1          1         1
4-861526120000           263        253       218
4-861351110000            67         66        41
4-861827109000           234        230        95
4-861515050000           880        849       495
4-861360160000         89878      87053     12781
4-8615059440375           29         28        12
4-8613949740000          173        165        57
4-861885700000           409        390       284
4-8615938940000          142        136        35
4-861471447000           169        157       159
4-861830530000             1          0         0
4-8613755790000          603        589       243
4-8613879600000          221        216       152
4-861500785000            43         42         2
4-861571020000           247        236        30
4-8613606417474          298        282       159
4-861881290000            88         86         9
4-861390434001             5          5         0
4-861390453000           105        102        20
4-8613661210001           57         56        11
4-8615859454347           29         29        13
4-8615249656000          102        101         9
4-8615028470000          143        137        40
4-8613444350133           70         67        52
4-8618463327474           69         67        33
4-8613776580000          292        281       229
4-861388350000           119        112        41
4-861390966000          2953       2919      1807
4-861471513000           236        219       220
4-8613444350440           77         75        55
4-861577112000           276        265       105
4-8613444350235           73         71        46
4-8613720930004            3          3         1
4-8615139840000          151        150        35
4-861876130000           199        191       150
4-861512944000           276        263       178
4-8618264607474           55         51        30
4-861471677000           109        104       106
4-8613809560000          696        683       351
4-861837184000           244        234       159
4-861471573000            67         65        64
4-8615738740000           76         74        28
4-861847510000            61         59        60
4-861573370000            20         17         1
4-8613810010001           64         59        16
4-8613444350439           83         83        67
4-8618838579000           41         39         7
4-8613811110000           50         49        11
4-861471561000            66         62        64
4-8615840260000          167        158        48
4-861390564000           446        434       316
4-14054729227              9          8         8
4-861577105000           124        118        55
4-861878927000           149        142        60
4-8615249658000           69         69         5
4-8615202126            2178       2102       236
4-861477700000           163        157         9
4-393358817485             1          1         1
4-8618483300000           96         93        31
4-8613444350234           65         60        43
4-861477823000           217        214       214
4-16473840085              5          5         0
4-861585595000           190        184       125
4-8613770460000          474        466       364
4-861471446000           206        192       185
4-861847699000           211        192       173
4-861370913000           133        131        84
4-861388800000           202        190        65
4-8618766677474           80         74        35
4-8615936840000          101         97        27
4-8613810210003           60         58        18
4-8615859454268           31         31        16
4-861387310000           144        141        80
4-861471530000            46         45        46
4-861399600000           122        119        61
4-6593340084             732        726         0
4-8613810410002           39         36        11
4-861390552000           412        402       321
4-861390562000          1127       1114       797
4-8618865367474           72         71        38
4-861390550000           352        335       237
4-8614705377474          124        123        64
4-861385770000           898        860       750
4-8615859454326           23         23         9
4-861381451000           400        384       201
4-8618253517474           46         44        24
4-8618838574000          185        179        25
4-8615859454282           27         26        14
4-8618463317474          123        115        54
4-8613444350238           74         73        52
4-8613444350141           13         13         6
4-8615772690000           83         81        52
4-14047259886              4          4         0
4-491700600101             1          1         0
4-8613810410001           53         51         9
4-8615762157474           45         43        23
4-8613444350435           77         77        58
4-861888300000            90         88        38
4-8613782746000           33         33         5
4-8615059440421           24         22         9
4-8615262940000          251        242       155
4-14047259639              2          2         0
4-8613444350135           78         77        58
4-861847534000           121        112       110
4-8615208400000          318        304        77
4-8613444350432           78         74        65
4-861387900000           111        106        61
4-8615059440552           41         40        16
4-861390566000           604        591       418
4-861500230000           107        104        63
4-861837187000           376        366       164
4-8613898650000          155        151        56
4-861351870000           224        205        44
4-8615249657000           95         92        13
4-861840662000            46         42        43
4-8613444350237           75         74        47
4-14054729191              3          2         3
4-8613783740000          110        108        22
4-8613515160000          351        338       264
4-8615059440510           19         18         8
4-8615702820002           20         19         3
4-8613511520000          261        253       199
4-861842053000            36         32        34
4-861390745000            64         62        28
4-8613444350335           46         44        35
4-861390458000            26         26        11
4-8615903400001           20         17        12
4-861362566000          1129       1119       630
4-861839059000            71         68        35
4-861357904000            15         14         0
4-861390734000            71         68        30
4-861820756000           121        108       100
4-861585579000           294        286       232
4-8618408340000           63         62        15
4-861577102000           254        244        84
4-86137431680200        1174       1164         0
4-861888370000           139        135        67
4-14054729352              4          4         4
4-8618808240000          113        109        38
4-861390881000            26         24        10
4-861399390000            98         92        47
4-861840492000            44         42        17
4-861390730000            86         84        44
4-861582380000           128        120        62
4-8190542116807           12         12         0
4-861390736000            88         84        62
4-33689002880              1          0         1
4-351911390170             1          1         0
4-861390743000            78         73        54
4-8615249654000          100         99        11
4-8614785640000           91         88        74
4-8613810210001           69         64        10
4-861872250000            67         64         8
4-861580539000             1          0         0
4-861834542000           215        205        34
4-8615205337474           47         45        23
4-861571897000           190        180        97
4-8613514240000          117        109        62
4-8615059440568           29         29        12
4-8618398670000           61         61        24
4-8613444350236           64         63        39
4-8613910910002           49         47        13
4-8613444350138           83         81        65
4-60120000271              4          4         4
4-8613444350438           74         72        52
4-8613910910001           42         38         3
4-8615859454273           27         27        22
4-861576970000            75         72         8
4-8618436046000           50         49        10
4-861390733000            56         53        28
4-447953700206             3          3         3
4-8614708000000          282        267        64
4-861515679000           369        357       242
4-8613444350140           84         83        58
4-861585599000           575        565       342
4-8613810310001           53         52        16
4-861380610000             3          2         2
4-8613513970000          262        259        58
4-8615702820003           14         14         2
4-8618860336000          158        150        27
4-861580438009             1          1         0
4-861373720000           108        101        11
4-861880305000            15         14         1
4-8615705377474           83         77        31
4-8613810210000           71         66        18
4-8613852010000          224        217       176
4-861477185000           206        198        91
4-861843492000            84         80        44
4-8613908750000           42         40        18
4-861360731000           195        188       118
4-861390915000           126        122        93
4-8615705447474           39         37        19
4-861471562000            37         35        35
4-861837244000           279        271       122
4-861390912000            18         17        12
4-861375977000           112        109        55
4-886936000146           231        227       231
4-8613444350436           79         77        66
4-861473632000            66         65         6
4-886936000234             1          1         1
4-8618404170000           73         71        32
4-8613444350433           72         70        56
4-447953700237             5          5         5
4-861888843000           119        114         9
4-8613661210002           41         37         9
4-447953700203             5          5         5
4-861847600000            74         70        70
4-41794992015             31         30        17
4-861887895000           167        158        21
4-14047259888              2          2         0
4-8618398370000          110        107        38
4-861390877000            44         41        16
4-8613611310001           50         45         7
4-8614786180000          113        106        80
4-861390568000           444        427       369
4-861387970000            34         33        19
4-8613444350338           39         37        29
4-861370910000           130        124        93
4-861390883000            26         23        15
4-861390438005             7          6         1
4-8613444350341           13         12        10
4-861351749000           125        116        65
4-861887247000           278        265        83
4-861373288000            82         77        41
4-8613444350240           85         82        58
4-447953700245             4          4         4
4-8613444350334           23         22        13
4-818093110000            75         66         0
4-861390739000            47         45        23
4-8613909910000           43         41         0
4-8615938440000          208        204        27
4-861475554000           286        281       240
4-861390732000            44         43        26
4-8613909710000           45         40         5
4-8613810210002           40         38         5
4-861573487000            41         40        23
4-8618804130000           51         51        16
4-861840668000            62         54        60
4-8615761260000          125        117       104
4-4792001042               6          6         0
4-8615059440390           25         24         9
4-393492001970            10         10         0
4-861390878000            28         26        11
4-8615103730000          133        131        23
4-8615264937474           89         87        32
4-8613905377474           55         52        28
4-861352985000            89         84        31
4-861842110000           178        157         0
4-8613444350339           39         39        34
4-8613803410000           70         64        39
4-861399964000            42         38         3
4-8615702820004           22         22         6
4-861592260000           110        106        47
4-447785011834            19         15         9
4-8613467170007           11         10         9
4-8613444350137           88         86        66
4-8613467170006           12         11         7
4-14054729243             10          9        10
4-861387980000           193        185       118
4-861880770000            85         82         8
4-8613444350337           39         39        25
4-8615859454279           16         16         6
4-8618338455000           54         54        15
4-8618842020000           80         75        38
4-8615059440357           35         35        15
4-8615105337474           46         42        19
4-8615859454308           31         28        20
4-491760003008             1          1         0
4-861350830000            94         89        50
4-8618854257474          113        102        43
4-861881420000            25         24        24
4-8618860547474           20         19         9
4-8618483000007            9          8         4
4-8613505377474           42         41        20
4-861500632000             3          0         1
4-8613569440000           73         71        13
4-861477806000            30         30        30
4-8613444350437           79         76        64
4-8615203400005           12         12         8
4-861390930000            22         22        11
4-8618382800000          110        105        35
4-861390911000            30         26        16
4-861380932000            45         42        32
4-861840663000            50         47        45
4-8615054127474          130        124        49
4-14054729247              7          7         7
4-8618483590000           51         50        18
4-8613937790000          211        205        46
