hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-8613910910003         116        108          4
4-79219600010             5          3          5
4-8615059440510          21         19         11
4-861477815000            7          7          7
4-861351110000           86         79         42
4-861847600000           37         32         33
4-861520476000           80         78         44
4-8615140450000         146        135         51
4-79052009988             1          1          0
4-861390455000          103         93         20
4-861366746000           83         78         39
4-861357767000           37         35         14
4-8190542113818           4          2          0
4-8618842020000         104         93         36
4-8613811110002          94         83          5
4-6590475002             25         20          0
4-85290240832             7          2          7
4-861390454000          101         99         25
4-8613444350338          78         69         22
4-60192040152            23         10         22
4-861872250000           72         69          4
4-852645021000108        21         13         21
4-8615979540000         226        211        135
4-861390453000          121        112         40
4-12085978935             2          0          0
4-861840663000           22         21         22
4-8190542112801           1          1          0
4-947500005               3          0          0
4-861580635000           63         58         32
4-861390888000           29         24          9
4-8613513970000         336        328         52
4-861883574000          161        156         97
4-8613908750000         104         96         45
4-861399330000           95         91         30
4-861390730000           72         67         27
4-639180008994           11          9          1
4-8618463327474          85         78         35
4-393358817018            1          1          1
4-861394670000           53         51         11
4-861471562000           19         19         18
4-8613444350233          46         43         17
4-8613444350137          43         42         31
4-8615840260000         163        153         30
4-8613811110000          50         46          1
4-861827248000            4          4          0
4-8618828480000         124        118         19
4-8190542119807           3          3          0
4-8615702810005          21         21          3
4-8613810310000          80         74         10
4-8613467170007           9          8          6
4-79148499991             1          1          1
4-861384420002            9          7          6
4-861373720000           98         95          6
4-861390882000           15         14          5
4-14054729325             2          1          2
4-447802000255           10          9          5
4-8618481380005           6          4          1
4-861387900000          109        108         65
4-8613405240000          50         45         25
4-8613444350239          54         48         19
4-8618860547474          40         40         12
4-8613444350232          51         48         27
4-861390449000           28         28         12
4-66830032011             5          2          0
4-861399310000           51         46         25
4-491700600145            1          0          0
4-861847675000           41         24         19
4-861580438003           15         15          5
4-861576970000           59         55          6
4-8613661210000          51         44          3
4-13603399750            81         45          0
4-971504063393            3          1          3
4-861357904000           42         33          0
4-861580438007           14         13          6
4-79141809991             1          1          1
4-46708000984            12          9          0
4-316540951000            1          0          0
4-8618860339000          39         37          3
4-8613998440000          56         52         20
4-861362317000           94         88         18
4-861514420008            1          1          0
4-85292040071            17         14         17
4-861390438003           23         19         10
4-861573134000           18         18          3
4-8618483590000          35         34         15
4-8613444350339          78         74         26
4-8615249659000          46         39          2
4-8613467170003          16         16          7
4-34622993511             1          0          0
4-8613444350240          52         48         25
4-861387010000           64         56         36
4-919892123847            2          2          2
4-861889776000            7          7          1
4-393492001968            1          0          0
4-861399964000           59         48          4
4-4540699710              1          1          0
4-491700600162            1          0          0
